Date,Price,Open,High,Low,Volume,Chg% 
"Oct 30, 2018","10,198.40","10,239.40","10,285.10","10,175.35",298.75M,-0.51%
"Oct 29, 2018","10,250.85","10,078.10","10,275.30","10,020.35",375.75M,2.20%
"Oct 26, 2018","10,030.00","10,122.35","10,128.85","10,004.55",375.56M,-0.94%
"Oct 25, 2018","10,124.90","10,135.05","10,166.60","10,079.30",522.42M,-0.98%
"Oct 24, 2018","10,224.75","10,278.15","10,290.65","10,126.70",362.27M,0.77%
"Oct 23, 2018","10,146.80","10,152.60","10,222.10","10,102.35",312.04M,-0.96%
"Oct 22, 2018","10,245.25","10,405.85","10,408.55","10,224.00",306.47M,-0.57%
"Oct 19, 2018","10,303.55","10,339.70","10,380.10","10,249.60",368.55M,-1.43%
"Oct 17, 2018","10,453.05","10,688.70","10,710.15","10,436.45",293.59M,-1.24%
"Oct 16, 2018","10,584.75","10,550.15","10,604.90","10,525.30",273.44M,0.69%
"Oct 15, 2018","10,512.50","10,524.20","10,526.30","10,410.15",267.52M,0.38%
"Oct 12, 2018","10,472.50","10,331.55","10,492.45","10,322.15",354.06M,2.32%
"Oct 11, 2018","10,234.65","10,169.80","10,335.95","10,138.60",498.51M,-2.16%
"Oct 10, 2018","10,460.10","10,331.85","10,482.35","10,318.25",373.84M,1.54%
"Oct 09, 2018","10,301.05","10,390.30","10,397.60","10,279.35",443.80M,-0.45%
"Oct 08, 2018","10,348.05","10,310.15","10,398.35","10,198.40",470.28M,0.31%
"Oct 05, 2018","10,316.45","10,514.10","10,540.65","10,261.90",625.15M,-2.67%
"Oct 04, 2018","10,599.25","10,754.70","10,754.70","10,547.25",438.20M,-2.39%
"Oct 03, 2018","10,858.25","10,982.70","10,989.05","10,843.75",398.76M,-1.36%
"Oct 01, 2018","11,008.30","10,930.90","11,035.65","10,821.55",398.99M,0.71%
"Sep 28, 2018","10,930.45","11,008.10","11,034.10","10,850.30",492.89M,-0.43%
"Sep 27, 2018","10,977.55","11,079.80","11,089.45","10,953.35",418.21M,-0.69%
"Sep 26, 2018","11,053.80","11,145.55","11,145.55","10,993.05",351.04M,-0.12%
"Sep 25, 2018","11,067.45","10,969.95","11,080.60","10,882.85",417.55M,0.91%
"Sep 24, 2018","10,967.40","11,164.40","11,170.15","10,943.60",398.82M,-1.58%
"Sep 21, 2018","11,143.10","11,271.30","11,346.80","10,866.45",741.15M,-0.81%
"Sep 19, 2018","11,234.35","11,326.65","11,332.05","11,210.90",258.42M,-0.39%
"Sep 18, 2018","11,278.90","11,381.55","11,411.45","11,268.95",248.30M,-0.87%
"Sep 17, 2018","11,377.75","11,464.95","11,464.95","11,366.90",207.62M,-1.19%
"Sep 14, 2018","11,515.20","11,443.50","11,523.25","11,430.55",285.22M,1.28%
"Sep 12, 2018","11,369.90","11,340.10","11,380.75","11,250.20",276.51M,0.73%
"Sep 11, 2018","11,287.50","11,476.85","11,479.40","11,274.00",318.09M,-1.32%
"Sep 10, 2018","11,438.10","11,570.25","11,573.00","11,427.30",295.60M,-1.30%
"Sep 07, 2018","11,589.10","11,558.25","11,603.00","11,484.40",305.03M,0.45%
"Sep 06, 2018","11,536.90","11,514.15","11,562.25","11,436.05",255.56M,0.52%
"Sep 05, 2018","11,476.95","11,514.85","11,542.65","11,393.85",253.69M,-0.38%
"Sep 04, 2018","11,520.30","11,598.75","11,602.55","11,496.85",262.70M,-0.54%
"Sep 03, 2018","11,582.35","11,751.80","11,751.80","11,567.40",241.73M,-0.84%
"Aug 31, 2018","11,680.50","11,675.85","11,727.65","11,640.10",357.23M,0.03%
"Aug 30, 2018","11,676.80","11,694.75","11,698.80","11,639.70",323.45M,-0.13%
"Aug 29, 2018","11,691.90","11,744.95","11,753.20","11,678.85",259.35M,-0.40%
"Aug 28, 2018","11,738.50","11,731.95","11,760.20","11,710.50",249.42M,0.40%
"Aug 27, 2018","11,691.95","11,605.85","11,700.95","11,595.60",205.69M,1.17%
"Aug 24, 2018","11,557.10","11,566.60","11,604.60","11,532.00",225.60M,-0.22%
"Aug 23, 2018","11,582.75","11,620.70","11,620.70","11,546.70",256.16M,0.10%
"Aug 21, 2018","11,570.90","11,576.20","11,581.75","11,539.60",231.06M,0.17%
"Aug 20, 2018","11,551.75","11,502.10","11,565.30","11,499.65",239.84M,0.71%
"Aug 17, 2018","11,470.75","11,437.15","11,486.45","11,431.80",241.99M,0.75%
"Aug 16, 2018","11,385.05","11,397.15","11,449.85","11,366.25",299.61M,-0.44%
"Aug 14, 2018","11,435.10","11,381.70","11,452.45","11,370.80",239.84M,0.70%
"Aug 13, 2018","11,355.75","11,369.60","11,406.30","11,340.30",254.47M,-0.65%
"Aug 10, 2018","11,429.50","11,474.95","11,478.75","11,419.65",336.42M,-0.36%
"Aug 09, 2018","11,470.70","11,493.25","11,495.20","11,454.10",311.52M,0.18%
"Aug 08, 2018","11,450.00","11,412.50","11,459.95","11,379.30",217.05M,0.53%
"Aug 07, 2018","11,389.45","11,423.15","11,428.95","11,359.70",233.41M,0.02%
"Aug 06, 2018","11,387.10","11,401.50","11,427.65","11,370.60",210.00M,0.23%
"Aug 03, 2018","11,360.80","11,297.80","11,368.00","11,294.55",225.15M,1.03%
"Aug 02, 2018","11,244.70","11,328.90","11,328.90","11,234.95",216.53M,-0.89%
"Aug 01, 2018","11,346.20","11,359.80","11,390.55","11,313.55",278.01M,-0.09%
"Jul 31, 2018","11,356.50","11,311.05","11,366.00","11,267.75",264.43M,0.33%
"Jul 30, 2018","11,319.55","11,296.65","11,328.10","11,261.45",287.44M,0.37%
"Jul 27, 2018","11,278.35","11,232.75","11,283.40","11,210.25",324.34M,0.99%
"Jul 26, 2018","11,167.30","11,132.95","11,185.85","11,125.70",376.66M,0.32%
"Jul 25, 2018","11,132.00","11,148.40","11,157.15","11,113.25",212.33M,-0.02%
"Jul 24, 2018","11,134.30","11,109.00","11,143.40","11,092.50",212.25M,0.45%
"Jul 23, 2018","11,084.75","11,019.85","11,093.40","11,010.95",236.15M,0.68%
"Jul 20, 2018","11,010.20","10,963.50","11,030.25","10,946.20",193.14M,0.48%
"Jul 19, 2018","10,957.10","10,999.50","11,006.50","10,935.45",222.06M,-0.21%
"Jul 18, 2018","10,980.45","11,060.20","11,076.20","10,956.30",232.50M,-0.25%
"Jul 17, 2018","11,008.05","10,939.65","11,018.50","10,925.60",217.11M,0.65%
"Jul 16, 2018","10,936.85","11,018.95","11,019.50","10,926.25",216.97M,-0.74%
"Jul 13, 2018","11,018.90","11,056.90","11,071.35","10,999.75",241.67M,-0.04%
"Jul 12, 2018","11,023.20","11,006.95","11,078.30","10,999.65",256.04M,0.68%
"Jul 11, 2018","10,948.30","10,956.40","10,976.65","10,923.00",229.21M,0.01%
"Jul 10, 2018","10,947.25","10,902.75","10,956.90","10,876.65",203.06M,0.87%
"Jul 09, 2018","10,852.90","10,838.30","10,860.35","10,807.15",189.33M,0.74%
"Jul 06, 2018","10,772.65","10,744.15","10,816.35","10,735.05",256.55M,0.21%
"Jul 05, 2018","10,749.75","10,786.05","10,786.05","10,726.25",227.27M,-0.19%
"Jul 04, 2018","10,769.90","10,715.00","10,777.15","10,677.75",179.27M,0.65%
"Jul 03, 2018","10,699.90","10,668.60","10,713.30","10,630.25",208.37M,0.40%
"Jul 02, 2018","10,657.30","10,732.35","10,736.15","10,604.65",304.54M,-0.53%
"Jun 29, 2018","10,714.30","10,612.85","10,723.05","10,612.35",250.33M,1.18%
"Jun 28, 2018","10,589.10","10,660.80","10,674.20","10,557.70",363.16M,-0.77%
"Jun 27, 2018","10,671.40","10,785.50","10,785.50","10,652.40",253.62M,-0.91%
"Jun 26, 2018","10,769.15","10,742.70","10,805.25","10,732.55",226.85M,0.06%
"Jun 25, 2018","10,762.45","10,822.90","10,831.05","10,753.05",236.69M,-0.55%
"Jun 22, 2018","10,821.85","10,742.70","10,837.00","10,710.45",236.90M,0.75%
"Jun 21, 2018","10,741.10","10,808.45","10,809.60","10,725.90",230.51M,-0.29%
"Jun 20, 2018","10,772.05","10,734.65","10,781.80","10,724.05",199.47M,0.58%
"Jun 19, 2018","10,710.45","10,789.45","10,789.45","10,701.20",231.38M,-0.83%
"Jun 18, 2018","10,799.85","10,830.20","10,830.20","10,787.35",202.73M,-0.17%
"Jun 15, 2018","10,817.70","10,808.65","10,834.00","10,755.40",314.76M,0.09%
"Jun 14, 2018","10,808.05","10,832.90","10,833.70","10,773.55",190.03M,-0.45%
"Jun 13, 2018","10,856.70","10,887.50","10,893.25","10,842.65",220.00M,0.13%
"Jun 12, 2018","10,842.85","10,816.15","10,856.55","10,789.40",204.42M,0.52%
"Jun 11, 2018","10,786.95","10,781.85","10,850.55","10,777.05",217.85M,0.18%
"Jun 08, 2018","10,767.65","10,736.40","10,779.45","10,709.05",215.94M,-0.01%
"Jun 07, 2018","10,768.35","10,722.60","10,818.00","10,722.60",227.66M,0.78%
"Jun 06, 2018","10,684.65","10,603.45","10,698.35","10,587.50",195.76M,0.86%
"Jun 05, 2018","10,593.15","10,630.70","10,633.15","10,550.90",172.90M,-0.33%
"Jun 04, 2018","10,628.50","10,765.95","10,770.30","10,618.35",210.15M,-0.63%
"Jun 01, 2018","10,696.20","10,738.45","10,764.75","10,681.50",227.36M,-0.37%
"May 31, 2018","10,736.15","10,670.10","10,763.80","10,620.40",629.20M,1.15%
"May 30, 2018","10,614.35","10,579.00","10,648.70","10,558.45",246.12M,-0.18%
"May 29, 2018","10,633.30","10,689.40","10,717.25","10,616.10",232.76M,-0.52%
"May 28, 2018","10,688.65","10,648.35","10,709.80","10,640.55",239.79M,0.79%
"May 25, 2018","10,605.15","10,533.05","10,628.05","10,524.00",268.92M,0.87%
"May 24, 2018","10,513.85","10,464.85","10,535.15","10,419.80",306.79M,0.80%
"May 23, 2018","10,430.35","10,521.10","10,533.55","10,417.80",299.92M,-1.01%
"May 22, 2018","10,536.70","10,518.45","10,558.60","10,490.55",249.24M,0.19%
"May 21, 2018","10,516.70","10,616.70","10,621.70","10,505.80",197.29M,-0.75%
"May 18, 2018","10,596.40","10,671.85","10,674.95","10,589.10",229.91M,-0.81%
"May 17, 2018","10,682.70","10,775.60","10,777.25","10,664.50",220.74M,-0.54%
"May 16, 2018","10,741.10","10,751.95","10,790.45","10,699.70",238.22M,-0.56%
"May 15, 2018","10,801.85","10,812.60","10,929.20","10,781.40",262.20M,-0.04%
"May 14, 2018","10,806.60","10,815.15","10,834.85","10,774.75",176.70M,0.00%
"May 11, 2018","10,806.50","10,741.95","10,812.05","10,724.45",209.39M,0.84%
"May 10, 2018","10,716.55","10,779.65","10,785.55","10,705.00",197.99M,-0.23%
"May 09, 2018","10,741.70","10,693.35","10,766.25","10,689.85",222.12M,0.22%
"May 08, 2018","10,717.80","10,757.90","10,758.55","10,689.40",278.12M,0.02%
